Node,  X Coordinate (m),  Y Coordinate (m),  Liquid X Volume Flux (m3/[m2 s]),  Liquid Y Volume Flux (m3/[m2 s])
0000000252,    2500.00000    ,    50.0000000    ,  -0.898856433E-08,  -0.120046126E-09
0000000253,    2550.00000    ,    50.0000000    ,  -0.875423388E-08,  -0.128196964E-09
0000000254,    2600.00000    ,    50.0000000    ,  -0.850500532E-08,  -0.137284551E-09
0000000255,    2650.00000    ,    50.0000000    ,  -0.823920918E-08,  -0.147380866E-09
0000000256,    2700.00000    ,    50.0000000    ,  -0.795506995E-08,  -0.158561163E-09
0000000257,    2750.00000    ,    50.0000000    ,  -0.765070752E-08,  -0.170900963E-09
0000000258,    2800.00000    ,    50.0000000    ,  -0.732414598E-08,  -0.184470725E-09
0000000259,    2850.00000    ,    50.0000000    ,  -0.697333484E-08,  -0.199326756E-09
0000000260,    2900.00000    ,    50.0000000    ,  -0.659618968E-08,  -0.215496079E-09
0000000261,    2950.00000    ,    50.0000000    ,  -0.619066374E-08,  -0.232951663E-09
0000000262,    3000.00000    ,    50.0000000    ,  -0.575486773E-08,  -0.251572264E-09
0000000263,    3050.00000    ,    50.0000000    ,  -0.528726424E-08,  -0.271077663E-09
0000000264,    3100.00000    ,    50.0000000    ,  -0.478697651E-08,  -0.290924295E-09
0000000265,    3150.00000    ,    50.0000000    ,  -0.425427072E-08,  -0.310136654E-09
0000000266,    3200.00000    ,    50.0000000    ,  -0.369129791E-08,  -0.327033355E-09
0000000267,    3250.00000    ,    50.0000000    ,  -0.310321491E-08,  -0.338777586E-09
0000000268,    3300.00000    ,    50.0000000    ,  -0.249983515E-08,  -0.340625103E-09
0000000269,    3350.00000    ,    50.0000000    ,  -0.189795187E-08,  -0.324608817E-09
0000000270,    3400.00000    ,    50.0000000    ,  -0.132429544E-08,  -0.276964163E-09
0000000271,    3450.00000    ,    50.0000000    ,  -0.818245065E-09,  -0.171756775E-09
0000000272,    3500.00000    ,    50.0000000    ,  -0.430408078E-09,    0.00000000    
0000000273,    3550.00000    ,    50.0000000    ,  -0.194784006E-09,    0.00000000    
0000000274,    3600.00000    ,    50.0000000    ,  -0.194225019E-09,    0.00000000    
0000000275,    3650.00000    ,    50.0000000    ,  -0.193618629E-09,  -0.140491118E-12
0000000276,    3700.00000    ,    50.0000000    ,  -0.192882850E-09,  -0.227786536E-12
0000000277,    3750.00000    ,    50.0000000    ,  -0.192014480E-09,  -0.300461436E-12
0000000278,    3800.00000    ,    50.0000000    ,  -0.191016560E-09,  -0.372741278E-12
0000000279,    3850.00000    ,    50.0000000    ,  -0.189886576E-09,  -0.447496782E-12
0000000280,    3900.00000    ,    50.0000000    ,  -0.188620950E-09,  -0.524224062E-12
0000000281,    3950.00000    ,    50.0000000    ,  -0.187217509E-09,  -0.601534278E-12
0000000282,    4000.00000    ,    50.0000000    ,  -0.185676336E-09,  -0.677979940E-12
0000000283,    4050.00000    ,    50.0000000    ,  -0.183999819E-09,  -0.752321652E-12
0000000284,    4100.00000    ,    50.0000000    ,  -0.182192341E-09,  -0.823591567E-12
0000000285,    4150.00000    ,    50.0000000    ,  -0.180259871E-09,  -0.891082125E-12
0000000286,    4200.00000    ,    50.0000000    ,  -0.178209550E-09,  -0.954309852E-12
0000000287,    4250.00000    ,    50.0000000    ,  -0.176049316E-09,  -0.101297392E-11
0000000288,    4300.00000    ,    50.0000000    ,  -0.173787607E-09,  -0.106691712E-11
0000000289,    4350.00000    ,    50.0000000    ,  -0.171433112E-09,  -0.111609208E-11
0000000290,    4400.00000    ,    50.0000000    ,  -0.168994588E-09,  -0.116053352E-11
0000000291,    4450.00000    ,    50.0000000    ,  -0.166480718E-09,  -0.120033631E-11
0000000292,    4500.00000    ,    50.0000000    ,  -0.163900004E-09,  -0.123563844E-11
0000000293,    4550.00000    ,    50.0000000    ,  -0.161260692E-09,  -0.126660797E-11
0000000294,    4600.00000    ,    50.0000000    ,  -0.158570716E-09,  -0.129343310E-11
0000000295,    4650.00000    ,    50.0000000    ,  -0.155837663E-09,  -0.131631466E-11
0000000296,    4700.00000    ,    50.0000000    ,  -0.153068751E-09,  -0.133546042E-11
0000000297,    4750.00000    ,    50.0000000    ,  -0.150270812E-09,  -0.135108088E-11
0000000298,    4800.00000    ,    50.0000000    ,  -0.147450293E-09,  -0.136338609E-11
0000000299,    4850.00000    ,    50.0000000    ,  -0.144613247E-09,  -0.137258337E-11
0000000300,    4900.00000    ,    50.0000000    ,  -0.141765348E-09,  -0.137887559E-11
0000000301,    4950.00000    ,    50.0000000    ,  -0.138911891E-09,  -0.138245994E-11
0000000302,    5000.00000    ,    50.0000000    ,  -0.136057803E-09,  -0.138352703E-11
0000000303,    5050.00000    ,    50.0000000    ,  -0.133207659E-09,  -0.138226032E-11
0000000304,    5100.00000    ,    50.0000000    ,  -0.130365691E-09,  -0.137883570E-11
0000000305,    5150.00000    ,    50.0000000    ,  -0.127535804E-09,  -0.137342128E-11
0000000306,    5200.00000    ,    50.0000000    ,  -0.124721588E-09,  -0.136617725E-11
0000000307,    5250.00000    ,    50.0000000    ,  -0.121926335E-09,  -0.135725592E-11
0000000308,    5300.00000    ,    50.0000000    ,  -0.119153054E-09,  -0.134680176E-11
0000000309,    5350.00000    ,    50.0000000    ,  -0.116404484E-09,  -0.133495150E-11
0000000310,    5400.00000    ,    50.0000000    ,  -0.113683108E-09,  -0.132183435E-11
0000000311,    5450.00000    ,    50.0000000    ,  -0.110991169E-09,  -0.130757217E-11
0000000312,    5500.00000    ,    50.0000000    ,  -0.108330684E-09,  -0.129227966E-11
0000000313,    5550.00000    ,    50.0000000    ,  -0.105703455E-09,  -0.127606469E-11
0000000314,    5600.00000    ,    50.0000000    ,  -0.103111084E-09,  -0.125902847E-11
0000000315,    5650.00000    ,    50.0000000    ,  -0.100554984E-09,  -0.124126586E-11
0000000316,    5700.00000    ,    50.0000000    ,  -0.980363938E-10,  -0.122286564E-11
